#{"t_start": 1769102440.7466047, "env_id": "None"}
r,l,t
16.18,82,132.221094
15.38,62,132.269135
15.23,77,132.335204
15.24,76,132.405274
16.18,82,137.017082
17.26,74,137.084672
14.89,111,137.187264
14.89,111,137.290359
17.13,87,137.349916
15.33,67,137.41348
16.32,68,137.473536
16.22,78,137.536104
16.14,86,137.615674
18.15,85,137.669218
15.19,81,137.742793
13.71,129,137.853802
17.15,85,137.923869
15.98,102,138.012766
15.99,101,138.100345
16.32,68,138.156404
15.36,64,138.209956
16.27,73,138.275016
13.97,103,138.354592
15.27,73,138.424657
14.27,73,138.488711
16.19,81,138.547265
16.16,84,138.628856
16.13,87,138.958074
15.19,81,143.416602
15.37,63,143.470144
15.15,85,143.520688
16.21,79,143.602772
15.24,76,143.652313
16.26,74,143.727391
15.32,68,143.79166
16.16,84,143.842205
18.29,71,143.892332
16.27,73,143.959919
15.26,74,144.029329
15.32,68,144.077873
14.14,86,144.162684
15.36,64,144.224245
15.19,81,144.28631
15.13,87,144.362871
15.32,68,144.42193
17.22,78,144.493994
15.31,69,144.546546
15.26,74,144.594589
17.29,71,144.651138
15.27,73,144.718205
15.34,66,144.774254
16.12,88,144.845325
15.21,79,144.927908
16.22,78,144.970063
15.32,68,145.026129
14.0,100,149.574172
14.33,67,149.643241
14.3,70,149.713307
16.32,68,149.768362
15.07,93,149.862447
15.09,91,150.226972
16.23,77,150.29253
15.21,79,150.357101
15.26,74,150.427196
15.34,66,150.474771
15.32,68,150.532834
16.21,79,150.605414
15.82,118,150.714516
15.18,82,150.784079
16.84,116,150.891189
17.32,68,150.936731
16.3,70,151.000293
16.29,71,151.060349
15.37,63,151.125413
15.26,74,151.187472
17.19,81,151.253031
15.26,74,151.317099
15.28,72,151.379148
15.24,76,151.453219
16.15,85,151.516287
13.53,147,156.36276
15.34,66,156.430824
15.27,73,156.488879
17.1,90,156.569456
14.05,95,156.652032
17.39,61,156.709589
16.4,60,156.774146
15.39,61,156.822692
15.28,72,156.89927
15.31,69,156.966829
15.38,62,157.020882
15.26,74,157.094951
16.27,73,157.447839
14.23,77,157.520906
16.35,65,157.579964
16.34,66,157.645053
16.19,81,157.724123
16.32,68,157.792679
16.23,77,157.868257
16.04,96,157.959342
15.34,66,158.008391
15.32,68,158.072468
15.31,69,158.149817
17.23,77,158.208378
16.19,81,158.289452
14.35,65,158.354513
15.36,64,158.415078
17.33,67,158.468627
14.36,64,163.192074
15.36,64,163.252627
15.22,78,163.326198
16.3,70,163.375745
15.32,68,163.423286
15.29,71,163.497358
15.3,70,163.556916
16.32,68,163.616496
15.31,69,163.680552
16.27,73,163.757624
15.34,66,163.807205
16.3,70,163.86626
15.18,82,163.944325
14.25,75,164.010422
15.37,63,164.057031
17.29,71,164.120111
14.35,65,164.181166
15.2,80,164.26224
15.17,83,164.33732
16.41,59,164.778134
15.21,79,164.856203
17.34,66,164.91928
15.28,72,164.992842
16.09,91,165.065914
15.36,64,165.117967
15.31,69,165.164507
15.89,111,165.258594
16.17,83,165.327661
16.37,63,170.113091
15.23,77,170.187165
16.35,65,170.242216
16.32,68,170.308782
15.31,69,170.372345
15.37,63,170.438415
15.23,77,170.499464
15.36,64,170.565532
15.38,62,170.628095
16.35,65,170.692149
15.9,110,170.778327
15.41,59,170.841885
15.32,68,170.894937
15.37,63,170.942482
15.34,66,171.006042
16.32,68,171.075112
18.35,65,171.136673
15.01,99,171.227761
16.36,64,171.289818
15.29,71,171.361883
15.32,68,171.418446
16.36,64,171.4815
15.29,71,171.539059
16.18,82,171.605621
15.34,66,171.675691
14.36,64,172.311564
16.27,73,172.367162
17.33,67,172.431717
15.26,74,172.485768
17.27,73,177.279342
14.11,89,177.370433
15.29,71,177.447007
14.18,82,177.507063
14.29,71,177.573973
15.32,68,177.645545
16.36,64,177.686583
15.23,77,177.749738
16.16,84,177.82935
17.37,63,177.886406
16.35,65,177.950969
15.38,62,178.012027
15.36,64,178.072588
15.22,78,178.152166
16.33,67,178.206217
14.94,106,178.285792
14.97,103,178.386397
16.41,59,178.446956
15.37,63,178.506007
15.33,67,178.548552
16.32,68,178.617117
17.39,61,178.674676
17.31,69,178.737262
15.37,63,178.790841
16.34,66,178.854905
15.35,65,178.922474
15.33,67,178.983277
15.37,63,179.040838
15.22,78,179.107402
17.32,68,183.972618
17.33,67,184.032672
18.4,60,184.097238
16.39,161,184.811591
15.41,59,184.865142
13.64,136,184.986758
15.4,60,185.026291
16.36,64,185.07333
15.3,70,185.127915
16.4,60,185.169011
15.4,60,185.234085
15.33,67,185.285636
15.17,83,185.361708
17.31,69,185.417764
18.36,64,185.476327
15.35,65,185.542886
16.38,62,185.598985
15.37,63,185.664062
15.27,73,185.72963
15.35,65,185.796194
17.38,62,185.851286
16.32,68,185.926362
15.33,67,185.999434
15.14,86,186.064496
14.09,91,186.151078
16.41,59,186.20815
15.71,129,186.304737
15.23,77,190.929857
15.37,63,190.996928
15.4,60,191.045473
14.78,122,191.164584
17.38,62,191.21263
15.26,74,191.295217
17.38,62,191.337261
15.29,71,191.412831
16.33,67,191.464386
16.4,60,192.648386
16.36,64,192.689457
15.34,66,192.750123
15.05,95,192.829187
17.39,61,192.884236
18.26,74,192.954801
15.37,63,193.022862
16.86,114,193.137479
19.36,64,193.188027
15.37,63,193.248585
18.4,60,193.311641
15.35,65,193.372198
15.27,73,193.424271
17.41,59,193.476365
15.42,58,193.537926
15.38,62,193.593976
16.36,64,193.655575
15.41,59,193.709138
16.38,62,193.777705
15.32,68,193.827252
15.27,73,193.898819
16.36,64,198.614473
15.29,71,198.679063
15.39,61,198.73413
18.41,59,198.772248
15.36,64,198.83433
16.3,70,198.884886
16.37,63,198.944449
15.31,69,199.007524
18.38,62,199.069089
15.39,61,199.109127
15.29,71,199.180198
15.29,71,199.24443
15.36,64,199.305997
15.41,59,199.358056
16.11,89,199.441134
16.35,65,199.494186
14.91,109,200.625454
15.39,61,200.669975
15.38,62,200.732978
17.37,63,200.775488
16.38,62,200.837491
15.4,60,200.890998
19.33,67,200.966508
16.38,62,201.036511
15.35,65,201.083018
16.19,81,201.16806
14.15,85,201.244064
14.22,78,201.323571
17.39,61,201.382239
15.35,65,201.452313
15.37,63,206.377291
16.37,63,206.427482
15.38,62,206.491041
15.38,62,206.555604
16.35,65,206.616163
16.32,68,206.684234
14.33,67,206.734777
17.4,60,206.789832
15.36,64,206.859903
15.37,63,206.918958
16.34,66,206.977515
14.33,67,207.041571
15.29,71,207.100133
18.3,70,207.176711
15.26,74,207.230256
19.38,62,207.275306
16.38,62,207.324856
17.37,63,207.385418
17.33,67,207.433965
16.38,62,207.481505
16.36,64,207.552072
16.38,62,207.59712
17.36,64,207.664187
15.32,68,208.53704
17.36,64,208.595593
18.39,61,208.63462
15.4,60,208.678184
17.37,63,208.744303
15.39,61,208.786846
16.37,63,208.836391
15.2,80,208.91497
15.37,63,213.511481
15.35,65,213.570537
16.4,60,213.624591
15.37,63,213.677143
14.05,95,213.753206
15.42,58,213.799251
19.41,59,213.840287
17.34,66,213.910855
17.36,64,213.956403
14.31,69,214.014456
16.09,91,214.104601
16.37,63,214.146638
17.42,58,214.188677
15.36,64,214.240223
15.39,61,214.300281
15.39,61,214.362336
15.41,59,214.415395
15.35,65,214.471943
16.4,60,214.510983
15.39,61,214.565544
16.35,65,214.631284
19.32,68,214.677405
16.38,62,214.741456
15.32,68,214.809538
16.4,60,214.874102
17.39,61,214.918141
15.4,60,214.978197
16.31,69,215.036256
16.39,61,215.09081
16.41,59,215.146892
15.29,71,215.217479
15.05,95,220.545908
15.39,61,220.607466
18.42,58,220.667521
19.31,69,220.740592
15.24,76,220.809665
15.35,65,220.87373
16.41,59,220.918777
14.15,85,220.999355
17.41,59,221.055412
15.39,61,221.119974
19.34,66,221.161009
18.4,60,221.209061
16.4,60,221.264117
19.37,63,221.318227
17.32,68,221.378285
16.36,64,221.43083
15.35,65,221.494398
15.41,59,221.535437
15.36,64,221.597499
16.38,62,221.641535
17.37,63,221.696134
15.4,60,221.756196
18.38,62,221.807292
15.4,60,221.853387
15.36,64,221.921455
19.36,64,221.987556
15.39,61,222.046614
15.41,59,222.097162
18.42,58,222.153213
18.4,60,222.214275
19.37,63,222.267822
16.38,62,222.313363
16.38,62,222.365958
16.36,64,227.085047
15.41,59,227.143097
16.36,64,227.213166
15.33,67,227.27723
15.39,61,227.315796
15.31,69,227.387868
19.3,70,227.83711
14.07,93,227.934705
21.02,98,228.00127
22.19,181,228.140902
23.48,152,228.28004
22.54,146,228.412164
23.38,162,228.551792
25.86,114,228.674927
18.92,308,228.99426
22.71,129,229.121879
23.0,100,229.229983
20.26,174,234.110375
23.87,113,234.20997
23.56,144,234.341172
20.87,113,234.441413
23.85,115,234.546074
19.77,123,234.664726
21.6,140,234.790908
24.9,110,235.395632
21.79,121,235.488713
22.96,104,235.579174
18.55,245,235.783906
21.87,113,235.873994
22.64,136,236.016138
20.17,183,236.169315
21.71,129,236.296946
23.87,113,236.393095
22.84,116,241.217729
22.73,127,241.336339
24.78,122,241.458951
25.81,119,241.585092
21.83,117,241.693186
21.66,134,241.824783
24.49,151,241.970416
22.85,115,242.072032
20.74,126,242.204166
22.06,94,242.281775
25.52,148,243.017627
20.87,113,243.106707
20.78,122,243.218809
22.97,103,243.300385
24.96,104,243.406487
21.94,106,243.493062
24.39,161,248.214368
23.83,117,248.323527
22.87,113,248.43666
22.9,110,248.528242
21.89,111,248.616821
21.02,98,248.715912
22.57,143,248.862049
20.9,110,248.97166
22.47,153,249.110806
21.98,102,249.210905
23.83,117,249.337132
24.5,150,249.495285
22.91,109,249.599436
22.9,110,249.676012
21.73,127,249.804631
25.89,111,250.41571
20.79,121,250.521322
23.72,128,255.449816
22.85,115,255.563435
21.94,106,255.642009
23.73,127,255.77163
22.09,91,255.865725
22.89,111,255.961346
21.0,100,256.071956
19.41,159,256.198086
24.92,108,256.296751
23.75,125,256.39436
21.67,133,256.541001
23.83,117,256.637096
22.9,110,256.747701
21.77,123,256.859301
19.63,137,256.997432
21.91,109,257.109665
20.9,110,257.223768
23.96,104,257.324863
19.77,123,262.388316
22.95,105,263.512233
22.37,163,263.658388
24.6,140,263.785514
20.58,142,263.908656
21.93,107,264.008246
20.7,130,264.118351
25.94,106,264.215942
22.92,108,264.310054
21.56,144,264.459691
23.91,109,264.562789
22.99,101,264.666883
21.98,102,264.756468
20.97,103,264.838564
24.47,153,264.975195
20.71,129,265.103816
20.72,128,265.201835
21.77,123,269.992054
21.8,120,270.109666
22.81,119,270.221779
19.73,127,270.347397
21.96,104,270.43249
21.53,147,271.36601
21.83,117,271.483185
24.9,110,271.587292
21.98,102,271.689401
21.98,102,271.781989
26.05,95,271.878602
19.73,127,271.982245
21.95,105,272.088854
23.87,113,272.202974
23.36,164,272.352139
23.81,119,272.437223
22.91,109,272.54984
20.76,124,277.380792
21.99,101,277.468378
21.91,109,277.558975
28.0,100,277.659575
22.99,101,277.760176
24.92,108,277.844759
23.01,99,277.943356
22.69,131,278.032533
24.0,100,278.135132
19.96,104,278.228239
23.81,119,278.921738
18.96,204,279.098902
21.01,99,279.171473
22.94,106,279.25956
22.67,133,279.388178
20.51,149,279.51481
21.75,125,279.613414
24.59,141,284.492136
20.84,116,284.601983
20.84,116,284.704582
22.99,101,284.800217
24.64,136,284.90485
22.46,154,285.041486
24.8,120,285.146581
22.8,120,285.245683
21.93,107,285.343777
24.49,151,285.49543
26.91,109,285.587016
23.21,179,285.745277
20.77,123,286.256112
23.6,140,286.368484
22.9,110,286.46458
25.9,110,286.552672
22.6,140,291.221853
22.64,136,291.343474
20.58,142,291.484605
23.8,120,291.605719
21.86,114,291.718826
20.72,128,291.845953
20.82,118,291.962102
24.91,109,292.067196
23.68,132,292.183387
24.36,164,292.338064
24.69,131,292.452673
20.75,125,292.552767
21.92,108,292.63484
23.45,155,292.769987
22.68,132,292.879133
25.05,95,293.256592
22.31,169,298.07066
21.72,128,298.199545
19.95,105,298.293638
18.88,212,298.504352
20.77,123,298.625475
19.93,107,298.739093
22.89,111,298.838686
23.91,109,298.945307
21.49,151,299.084939
24.06,94,299.17703
23.75,125,299.296644
23.32,168,299.435874
20.83,117,299.535474
21.77,123,299.647108
21.84,116,299.760296
21.61,139,299.88058
26.81,119,304.865693
21.9,110,304.973791
25.94,106,305.07039
19.54,146,305.49819
21.72,128,305.60829
20.95,105,305.691873
21.95,105,305.780983
22.99,101,305.879581
21.9,110,305.985181
24.26,174,306.154845
21.94,106,306.257447
22.94,106,306.334024
20.94,106,306.435619
23.85,115,306.546727
19.8,120,306.661344
19.95,205,306.850049
23.76,124,306.976668
24.77,123,311.824107
23.88,112,311.933713
21.65,135,312.068342
21.39,161,312.2243
21.5,150,312.362434
24.12,188,312.795954
23.77,123,312.899083
20.96,104,312.998168
19.38,162,313.146868
22.72,128,313.276994
23.78,122,313.403114
23.75,125,313.50821
21.93,107,313.612812
20.58,142,313.744436
19.7,130,313.866051
22.58,142,318.693388
21.94,106,318.794984
20.79,121,318.882092
20.04,196,319.067255
24.89,111,319.153867
21.15,185,319.329031
23.62,138,319.45615
21.74,126,319.570261
19.32,168,319.743925
21.62,138,320.386647
22.89,111,320.494242
22.47,153,320.645877
23.76,124,320.75764
22.74,126,320.87915
23.77,123,320.974659
20.77,123,326.1711
24.85,115,326.279198
22.76,124,326.396809
19.78,122,326.524931
20.83,117,326.635041
21.79,121,326.745146
21.61,139,326.877266
23.76,124,327.006514
23.89,111,327.080633
21.85,115,327.165238
22.27,173,327.323403
20.85,115,327.44102
23.9,110,327.5301
22.04,96,327.627144
21.62,138,328.361963
20.87,113,328.474079
24.91,109,328.575675
20.52,148,333.309243
20.82,118,333.423845
21.41,159,333.551522
21.89,111,333.642607
24.38,162,333.800368
21.81,119,333.916473
23.03,97,334.00461
24.25,175,334.16575
20.24,176,334.311404
21.98,102,334.417004
20.5,150,334.556633
20.72,128,334.666738
20.88,112,334.751822
24.64,136,334.862935
21.89,111,334.945575
24.95,105,339.677915
22.65,135,340.172835
21.98,102,340.25141
21.69,131,340.375035
19.93,207,340.569228
20.25,175,340.707393
21.89,111,340.807499
24.04,96,340.892582
22.74,126,341.023213
19.58,142,341.159843
22.78,122,341.264401
21.97,103,341.345981
24.95,105,341.425619
22.48,152,341.557245
18.85,215,341.750432
20.93,107,346.441793
20.94,106,346.544399
21.73,127,346.660749
23.88,112,346.761407
22.98,102,346.862021
24.57,143,347.70613
24.5,150,347.816748
20.87,113,347.910934
20.36,164,348.059671
24.67,133,348.194812
21.28,172,348.333029
22.0,100,348.438137
22.69,131,348.562767
21.88,112,348.660368
22.94,106,348.754461
19.59,141,348.884657
19.58,142,353.801828
19.7,130,353.920465
20.93,107,354.025567
21.56,144,354.159858
23.84,116,354.27697
20.96,104,354.380077
22.75,125,354.49558
21.73,127,354.632746
