#{"t_start": 1768807640.9609017, "env_id": "None"}
r,l,t
253.295847,164,387.946962
20.467171,9,388.105963
23.862824,17,388.922462
33.010732,18,394.132962
30.177512,10,394.302996
167.680274,87,396.219002
32.335494,15,396.407003
53.652229,25,397.555502
50.516423,22,397.919502
33.318751,19,398.558002
116.009541,60,399.937502
71.834429,38,400.776502
42.000077,21,401.302502
38.887404,18,401.797502
33.121224,18,401.975504
36.918949,17,402.477502
87.151683,45,403.310002
27.263345,16,403.806002
54.079392,41,404.649002
151.339038,78,405.896002
25.316596,23,406.406504
312.055039,170,409.235544
22.44231,35,409.619548
75.477146,44,410.653544
29.344788,15,410.844045
280.149862,157,413.912082
29.549904,12,414.407582
20.893089,58,415.158082
18.509248,9,415.320082
57.973931,26,415.664582
31.117204,35,416.690582
24.91059,9,417.027082
30.323083,12,417.527082
156.634438,84,419.155088
31.775568,12,419.637088
23.148627,6,419.976589
29.411152,10,420.325089
23.730132,10,420.652088
24.09191,19,420.994588
34.039277,17,421.175588
24.104525,11,421.672091
126.552137,87,423.250088
73.877755,46,424.452088
22.499903,13,424.951088
28.53053,13,425.451088
54.477482,29,426.104092
21.793879,108,427.726592
339.893734,203,436.528131
135.589979,83,437.609634
107.597002,53,438.65163
21.570393,6,438.800629
56.673734,49,440.006629
28.510499,15,440.193129
50.541641,26,441.197629
114.519613,56,442.023629
61.271463,39,442.883629
233.667786,500,448.454169
32.911145,24,448.805666
187.400774,117,449.827667
52.704934,32,450.529666
44.278641,21,450.726166
67.68949,44,451.594167
25.776968,17,452.232167
54.033943,35,453.231166
230.979967,129,455.494706
27.458017,13,455.987203
50.63633,29,456.340203
30.177445,10,456.693702
31.620875,19,457.196703
212.043971,132,458.655203
141.215963,70,459.915203
51.936407,30,460.555703
24.082377,10,460.721703
28.374732,9,460.896703
71.161972,48,461.765205
110.631246,122,463.342703
30.898558,11,463.669703
162.203583,94,465.105203
93.362543,52,465.671703
46.633705,21,466.015703
30.178629,10,466.350705
35.063089,15,466.804202
27.099596,8,467.266703
24.023217,14,467.449703
35.338397,12,472.263245
30.121338,17,472.604247
49.528547,23,472.796282
33.504114,30,473.313782
28.165669,15,473.644282
30.464301,14,473.825782
58.94252,31,474.358782
169.63977,103,475.926321
120.132974,66,477.105822
27.209324,13,477.445321
31.268383,10,477.98582
27.011808,12,478.143321
53.196011,25,478.967326
54.245762,27,479.333327
28.908092,10,479.676827
41.329755,17,479.876827
29.773004,18,480.222827
175.492597,111,481.537327
25.187344,14,482.039327
41.693436,18,482.527827
22.130834,28,483.211327
84.032945,41,484.246827
48.614849,19,484.935327
31.734729,11,485.105827
31.888653,17,485.62333
30.827078,16,485.968831
36.477215,26,486.32483
37.040169,30,486.861332
86.996992,55,487.75333
41.305326,22,488.27283
100.218906,66,489.191831
35.347337,16,489.68833
33.808609,13,490.173374
54.530323,23,490.685874
50.673624,32,491.247374
190.589136,119,492.851411
33.736127,16,493.205411
27.993468,9,493.522911
72.101708,34,494.192911
145.819427,73,495.432411
24.373982,8,495.761411
33.030062,14,496.255911
146.642226,95,498.022911
40.849931,15,498.365911
40.996446,19,499.042411
37.985711,25,500.030411
30.249247,23,500.538911
38.234731,23,500.725911
44.668681,21,500.910911
175.86403,189,502.921411
34.455664,11,503.092411
39.97874,19,503.268911
216.738183,150,506.11745
32.004463,13,506.45695
34.196169,16,506.95095
27.369085,12,507.28645
23.869683,19,507.75495
34.514251,14,508.26245
41.379437,23,508.62095
89.480129,48,509.45295
33.572197,18,510.14895
36.188405,18,510.806451
122.6782,77,516.518486
129.164174,154,518.513486
36.055302,22,519.029485
89.4306,46,519.581486
60.917531,35,520.683485
69.61041,28,521.031485
29.414222,15,521.220485
29.681471,10,521.381488
107.958927,70,526.610486
73.362733,42,527.793485
64.630662,38,528.164985
32.413071,12,528.665485
26.437836,12,528.991485
23.891588,12,529.305485
111.460881,65,530.02999
83.903417,45,530.409486
310.737106,197,533.086521
29.459818,17,533.398022
81.189042,55,534.415022
34.213096,18,534.759022
27.884507,20,535.278522
158.041983,89,536.226522
42.424097,25,536.423522
105.981567,57,537.315522
75.905472,34,538.013522
42.780496,22,538.515522
48.211546,24,539.066529
29.735921,14,539.537029
55.62458,26,539.894029
29.595196,18,540.063029
41.011325,18,540.254029
150.524909,80,541.029028
33.552542,10,541.202029
45.439288,27,541.568029
64.549243,26,542.216029
35.625294,17,542.561529
47.082533,22,543.063029
28.830123,14,543.237529
195.669219,96,544.339529
150.294613,87,545.480529
247.196449,138,547.279033
27.123673,11,547.453533
194.842381,149,549.587534
113.681476,55,550.324533
27.840256,11,551.168533
47.722332,21,556.218576
25.851588,8,556.389575
177.701979,106,557.779575
66.197374,27,558.430076
131.665794,100,558.765579
32.759702,16,558.954076
177.443501,99,560.254076
45.805523,18,560.606076
44.382797,28,560.972577
41.250375,15,561.152076
36.080392,16,561.664678
38.227749,13,561.997178
25.990794,12,562.163178
27.575427,13,562.350181
43.333175,16,562.691678
122.752412,57,563.574679
23.744001,6,563.755178
134.069346,77,564.83922
54.806836,41,565.707219
70.844512,47,566.412219
35.113794,14,566.744719
31.323275,14,566.93172
35.914496,19,567.119719
24.610081,11,567.450219
92.552534,44,568.197718
104.446299,54,568.765719
29.847476,16,568.952719
357.576884,229,571.86922
147.423768,74,572.959219
40.880822,21,573.326219
73.276103,36,573.700719
79.458765,38,574.648764
32.319699,20,575.008763
78.7829,84,576.245263
24.884421,19,576.725763
53.132371,25,577.547763
34.728071,41,578.079263
191.376822,77,579.337763
38.232267,24,579.871763
249.700977,458,589.15832
29.866788,21,589.36182
62.098471,40,589.901322
60.207362,35,590.28432
46.404665,19,590.46882
37.457498,15,590.64732
58.187118,51,591.051821
