#{"t_start": 1768629503.048313, "env_id": "None"}
r,l,t
-68.15,500,2390.287203
-51.786366,500,2399.009235
-7.526412,500,2401.142838
-64.4,500,2413.585248
9.293363,500,2422.519554
-63.056489,500,2424.900578
-35.422124,500,2434.664246
-38.45,500,2447.864531
-39.909694,500,2450.269766
-74.7,500,2459.227376
24.408222,86,2459.711018
-95.15,500,2462.377692
-63.95,500,2479.239192
-95.25,500,2481.535279
-7.134483,500,2489.533087
31.810816,170,2490.629589
-58.018449,500,2502.327654
-37.735947,500,2504.738739
-43.65,500,2513.04678
-56.1,500,2515.084018
26.834479,429,2522.78208
16.037945,172,2533.366032
-44.099826,500,2535.504176
-114.45,500,2543.976116
-49.7,500,2546.387201
-106.45,500,2557.992865
-63.4,500,2566.389723
-13.51747,500,2568.531253
-47.019005,500,2576.514344
-77.5,500,2587.637529
-132.1,500,2590.184407
-61.692968,500,2598.516033
-118.05,500,2600.615602
-64.114047,500,2609.300902
-25.20094,500,2620.606066
-76.45,500,2622.776242
-74.448488,500,2631.748704
-126.183367,500,2634.024919
-105.5,500,2651.76214
-82.95,500,2654.437884
-45.6,500,2656.549713
-37.0,500,2665.556455
17.679348,68,2665.917239
0.106708,500,2677.572897
-17.744556,500,2686.118669
-32.392853,500,2688.364811
14.252482,119,2689.247821
-45.680034,500,2698.111218
-110.5,500,2709.958766
-68.756794,500,2712.367604
-50.301897,500,2720.959149
-92.8,500,2723.075901
-106.0,500,2740.609152
-108.45,500,2742.851951
-41.342278,500,2744.933522
-75.05,500,2753.00228
-52.549554,500,2764.368757
-42.229546,500,2772.969903
-69.55,500,2775.330678
-26.285899,500,2777.49867
-69.71538,500,2794.957867
-74.9,500,2797.639898
-124.3,500,2805.822335
-72.3,500,2807.92603
38.024942,443,2819.216125
-33.216136,500,2827.541206
-83.35,500,2829.557497
-59.546412,500,2831.897553
-66.25,500,2849.096888
-46.7,500,2851.077344
26.851081,500,2859.187692
-87.05,500,2861.512686
-52.215315,500,2872.895545
-28.007272,500,2881.1429
-61.648355,500,2883.325669
-37.834135,500,2891.422863
-52.813751,500,2902.653469
-79.563085,500,2904.867365
-51.65,500,2912.800265
22.175755,41,2913.096095
-16.105282,500,2915.262699
6.476309,226,2916.865135
-51.495667,500,2934.502887
-60.199759,500,2936.475184
-83.95,500,2944.592761
-80.0,500,2946.754117
-9.784016,500,2957.483021
25.913279,201,2964.937206
-77.05,500,2967.214257
-117.15,500,2969.239761
-88.85,500,2977.665503
-62.4,500,2989.15283
-3.630806,481,2997.672866
-23.564383,500,2999.879692
-96.65,500,3002.377532
-66.15,500,3020.552344
23.037494,107,3021.09597
-94.55,500,3023.736309
-4.760743,389,3031.5032
-50.863988,500,3033.537348
-76.45,500,3044.729851
-51.522758,500,3052.868963
-128.95,500,3055.070481
-92.5,500,3063.062869
-6.961519,500,3074.935586
-26.961915,500,3077.283328
-70.35,500,3085.803967
-45.686025,500,3088.231871
-130.9,500,3105.369513
-34.386417,500,3107.409024
-25.685141,500,3109.626089
-97.25,500,3117.858859
-11.191694,500,3129.070502
-71.5,500,3136.881808
-83.0,500,3139.111178
-81.25,500,3141.10421
-60.85,500,3158.26902
-64.953248,500,3160.273747
-40.956171,500,3168.219551
-114.5,500,3170.493681
20.631379,500,3181.256332
-120.15,500,3189.967031
-35.909592,500,3192.377341
-83.3,500,3200.580355
-28.480196,500,3212.029595
-61.05,500,3214.718721
-76.99489,500,3223.330252
-41.65,500,3225.464553
-111.6,500,3233.889388
-45.526738,500,3244.510376
4.42077,312,3245.870696
-63.2,500,3254.207459
-61.2,500,3256.461969
-32.588429,500,3268.027353
15.651738,132,3274.724203
-37.922684,500,3277.557606
-51.7,500,3279.629713
-42.7,500,3288.257471
20.765845,164,3289.080592
-89.9,500,3300.1803
-81.35,500,3308.16076
11.625193,238,3309.099731
-141.3,500,3311.290616
-41.4,500,3328.96347
-36.649369,500,3330.969661
-63.75,500,3333.403954
24.706975,127,3340.3696
-102.25,500,3342.459717
-80.9,500,3353.939703
16.603172,259,3361.454823
57.399153,500,3363.802383
29.826918,41,3364.124046
-15.547132,500,3366.222831
-69.55,500,3382.950669
17.637924,153,3383.716102
-103.25,500,3385.673034
-65.720392,500,3393.608843
-18.189882,500,3395.836168
9.843643,187,3396.970159
-113.6,500,3414.163473
-50.53391,500,3416.490619
-55.45,500,3424.765178
-34.607513,500,3426.853597
-33.787791,500,3438.064989
-105.75,500,3446.428874
-83.25,500,3448.359823
-18.509172,500,3456.124898
-37.755022,500,3467.089513
-109.9,500,3469.090437
-26.747413,500,3477.169479
-127.6,500,3479.453696
-33.765308,500,3496.014326
-49.788316,500,3498.191837
-61.974946,500,3500.436982
-85.95,500,3508.247881
09.036574
-30.0,500,1109.67607
-30.0,500,1110.328015
-30.0,500,1110.962373
-31.366689,500,1128.584187
-30.0,500,1129.450958
-30.0,500,1130.214988
-30.0,500,1130.875729
-30.0,500,1131.500847
-30.0,500,1132.362577
-27.94336,500,1132.99118
-30.0,500,1133.623732
-30.0,500,1134.239989
-30.0,500,1134.853829
-30.0,500,1141.611949
-27.534574,500,1142.185684
-30.0,500,1142.745904
-30.0,500,1143.346817
-30.0,500,1143.957901
-152.202235,500,1144.712502
-30.0,500,1145.324738
-30.0,500,1146.118632
-30.0,500,1146.700858
-30.0,500,1147.264539
-30.0,500,1164.627536
-30.0,500,1165.231597
-30.0,500,1165.843105
-23.072384,500,1166.441995
-30.0,500,1167.062925
-30.0,500,1167.675059
-30.0,500,1168.274903
-30.0,500,1168.864964
-30.0,500,1169.714492
-30.0,500,1170.314259
-35.0,500,1187.194721
-30.0,500,1187.83597
-30.0,500,1188.439847
-30.0,500,1189.031724
-30.0,500,1189.899489
-30.0,500,1190.503938
-30.0,500,1191.091738
-30.0,500,1191.654743
-30.0,500,1192.250928
-30.0,500,1193.040071
-25.866445,500,1200.382344
-30.0,500,1200.961952
-30.0,500,1201.555094
-30.0,500,1202.151354
-30.0,500,1202.722414
-30.0,500,1203.304315
-30.0,500,1203.878272
-30.0,500,1204.634357
-30.0,500,1205.215027
-30.0,500,1205.775731
-30.0,500,1222.618646
-30.0,500,1223.228393
-30.0,500,1223.86154
-155.0,500,1224.486571
-120.75,500,1225.085668
-30.0,500,1225.659166
-155.0,500,1226.232133
-30.0,500,1226.79423
-30.0,500,1227.370038
-30.0,500,1227.933213
-30.0,500,1235.722904
-30.0,500,1236.267178
-30.0,500,1236.830086
-30.0,500,1237.435098
-30.0,500,1237.989531
-27.821535,500,1238.591816
-30.0,500,1239.203856
-155.0,500,1239.804487
-155.0,500,1240.381585
-30.0,500,1240.971672
-30.0,500,1257.432125
-30.0,500,1257.992962
-30.0,500,1258.742754
-30.0,500,1259.28971
-30.0,500,1259.867199
-30.0,500,1260.449629
-30.0,500,1261.001084
-30.0,500,1261.55658
-28.988543,500,1262.116674
-30.0,500,1262.668838
-30.0,500,1278.561682
-30.0,500,1279.131777
-30.0,500,1279.819973
-30.0,500,1280.412331
-30.0,500,1280.964833
-30.0,500,1281.740837
-30.0,500,1282.295787
-30.0,500,1282.845969
-30.0,500,1283.417227
-30.0,500,1283.97436
-30.0,500,1290.718282
-30.0,500,1291.253786
-30.0,500,1291.794703
-30.0,500,1292.356932
-28.375558,500,1292.911519
-103.5,500,1293.4786
-30.0,500,1294.308308
-30.0,500,1295.094929
-30.0,500,1295.727491
-30.0,500,1296.351071
-30.0,500,1312.383062
-30.0,500,1312.942878
-30.0,500,1313.48462
-30.0,500,1314.051586
-27.934419,500,1314.628042
-30.0,500,1315.194984
-30.0,500,1315.733539
-30.0,500,1316.284605
-30.0,500,1317.023176
-30.0,500,1317.572956
-30.0,500,1324.074457
-30.0,500,1324.816265
-30.0,500,1325.396728
-30.0,500,1325.954728
-155.0,500,1326.528015
-30.0,500,1327.072617
-30.0,500,1327.626363
-30.0,500,1328.193569
-30.0,500,1328.76989
-30.0,500,1329.346916
-30.0,500,1345.127904
-30.0,500,1345.676714
-30.0,500,1346.22395
